Index;Teilhaushalt;Produktgruppe;Betrag;Richtung;Typ;Jahr
1110;Innere Verwaltung;Steuerung;5285719;Erträge;Plan;2018
1111;Innere Verwaltung;Org.& komm.;456802;Erträge;Plan;2018
1112;Innere Verwaltung;Steuerungsunterstützung/Controlling;1199847;Erträge;Plan;2018
1113;Innere Verwaltung;Rechnungsprüfung;469384;Erträge;Plan;2018
1114;Innere Verwaltung;Zentrale Funktionen;153012;Erträge;Plan;2018
1120;Innere Verwaltung;Organisation und EDV;1092885;Erträge;Plan;2018
1121;Innere Verwaltung;Personalwesen;1502536;Erträge;Plan;2018
1122;Innere Verwaltung;Finanzverwaltung, Kasse;1246865;Erträge;Plan;2018
1123;Innere Verwaltung;Justiziariat;766235;Erträge;Plan;2018
1124;Innere Verwaltung;Gebäude- u. tech. Immobilienmanagement;14312798;Erträge;Plan;2018
11240201;Innere Verwaltung;Grundschulen;34260;Erträge;Plan;2018
11240203;Innere Verwaltung;Grund-, Haupt-, Werkrealschulen;76530;Erträge;Plan;2018
11240204;Innere Verwaltung;Realschulen;106890;Erträge;Plan;2018
11240206;Innere Verwaltung;Gymnasien;441420;Erträge;Plan;2018
11240217;Innere Verwaltung;Förderschulen;900;Erträge;Plan;2018
11240240;Innere Verwaltung;Tageseinrichtungen für Kinder (0-6 J.);35500;Erträge;Plan;2018
11240241;Innere Verwaltung;Tageseinrichtungen für Kinder (7-14 J.);200;Erträge;Plan;2018
1125;Innere Verwaltung;Grünanlagen, Werkstätten und Fahrzeuge;5599946;Erträge;Plan;2018
1126;Innere Verwaltung;Zentrale Dienstleistungen;574359;Erträge;Plan;2018
1130;Innere Verwaltung;Presse- und Öffentlichkeitsarbeit;260081;Erträge;Plan;2018
1132;Innere Verwaltung;Abgabewesen;601500;Erträge;Plan;2018
1133;Innere Verwaltung;Grundstücksmanagement;488026;Erträge;Plan;2018
1210;Sicherheit und Ordnung;Statistik und Wahlen;7000;Erträge;Plan;2018
1220;Sicherheit und Ordnung;Ordnungswesen;180870;Erträge;Plan;2018
1221;Sicherheit und Ordnung;Verkehrswesen;863114;Erträge;Plan;2018
1222;Sicherheit und Ordnung;Einwohnerwesen;740683;Erträge;Plan;2018
1223;Sicherheit und Ordnung;Personenstandswesen;54800;Erträge;Plan;2018
1224;Sicherheit und Ordnung;Kommunales Grundbuchwesen;3554;Erträge;Plan;2018
1225;Sicherheit und Ordnung;Sozialversicherung;0;Erträge;Plan;2018
1260;Sicherheit und Ordnung;Brandschutz;170500;Erträge;Plan;2018
1280;Sicherheit und Ordnung;Katastrophenschutz;0;Erträge;Plan;2018
211001;Schulen;Grundschulen;691774;Erträge;Plan;2018
211003;Schulen;Grund-, Haupt- u. Werkrealschulen;579461;Erträge;Plan;2018
211004;Schulen;Realschulen;1063934;Erträge;Plan;2018
211006;Schulen;Gymnasien;1489819;Erträge;Plan;2018
212002;Schulen;Förderschulen;245620;Erträge;Plan;2018
214001;Schulen;Schülerbeförderung;21000;Erträge;Plan;2018
214002;Schulen;Fördermaßnahmen für Schüler;46501;Erträge;Plan;2018
2150;Schulen;Sonst. Schulische Aufg. u. Einrichtungen;130149;Erträge;Plan;2018
2520;Kultur;Kommunale Museen;53000;Erträge;Plan;2018
2521;Kultur;Archiv;6900;Erträge;Plan;2018
2610;Kultur;Theater;1054900;Erträge;Plan;2018
2620;Kultur;Musikpflege;183065;Erträge;Plan;2018
2630;Kultur;Musikschulen;2168115;Erträge;Plan;2018
2810;Kultur;Sonstige Kulturpflege;11574;Erträge;Plan;2018
2710;Bildung;Volkshochschulen;407300;Erträge;Plan;2018
2720;Bildung;Bibliotheken;60050;Erträge;Plan;2018
2730;Bildung;Kulturpädagogische Einrichtungen;5000;Erträge;Plan;2018
311007;Soziales;Hilfen bei bes. sozialen Schwierigkeiten;0;Erträge;Plan;2018
31100501;Soziales;Hilfe zum Lebensunterhalt;0;Erträge;Plan;2018
3140;Soziales;Soziale Einrichtungen;893480;Erträge;Plan;2018
3160;Soziales;Förderung v. Trägern d. Wohlfahrtspflege;0;Erträge;Plan;2018
3180;Soziales;Sonstige soziale Hilfen und Leistungen;249620;Erträge;Plan;2018
362001;Soziales;Kinder- und Jugendarbeit;1000;Erträge;Plan;2018
362002;Soziales;Jugendsozialarbeit;98000;Erträge;Plan;2018
362003;Soziales;Beteil. u. Interessenvertr. v. Jugendl.;0;Erträge;Plan;2018
362004;Soziales;Einrichtungen der Jugendarbeit;0;Erträge;Plan;2018
363003;Soziales;Ind. Hilfen f. ju. Mensch. u. ihre Fam.;0;Erträge;Plan;2018
36500101;Soziales;Förderung v. Kindern in Gruppen (0-6 J.);3738530;Erträge;Plan;2018
36500102;Soziales;Förderung v. Kind. In Gruppen (7-14 J.);444200;Erträge;Plan;2018
3680;Soziales;Kooperation und Vernetzung;0;Erträge;Plan;2018
4140;Soziales;Maßnahmen der Gesundheitspflege;0;Erträge;Plan;2018
4210;Sport;Förderung des Sports;11000;Erträge;Plan;2018
4241;Sport;Sportstätten;648001;Erträge;Plan;2018
5110;Planung, Bauen, Natur und Umwelt;Stadtentwicklung, Städtebauliche Planung;15718;Erträge;Plan;2018
5111;Planung, Bauen, Natur und Umwelt;Flächen- und grundstücksbezogene Daten;20863;Erträge;Plan;2018
5210;Planung, Bauen, Natur und Umwelt;Bauordnung;342858;Erträge;Plan;2018
5220;Planung, Bauen, Natur und Umwelt;Wohnungsbauförderung u. Versorgung;0;Erträge;Plan;2018
5230;Planung, Bauen, Natur und Umwelt;Denkmalschutz und Denkmalpflege;0;Erträge;Plan;2018
5360;Planung, Bauen, Natur und Umwelt;Telekommunikationseinrichtungen;89150;Erträge;Plan;2018
5370;Planung, Bauen, Natur und Umwelt;Abfallwirtschaft;590715;Erträge;Plan;2018
541001;Planung, Bauen, Natur und Umwelt;Gemeindestraßen;1700833;Erträge;Plan;2018
541007;Planung, Bauen, Natur und Umwelt;Straßenreinigung;22007;Erträge;Plan;2018
541008;Planung, Bauen, Natur und Umwelt;Winterdienst;31;Erträge;Plan;2018
541009;Planung, Bauen, Natur und Umwelt;Toilettenanlagen Gemeindestraßen;1801;Erträge;Plan;2018
5460;Planung, Bauen, Natur und Umwelt;Parkierungseinrichtungen;290000;Erträge;Plan;2018
5470;Planung, Bauen, Natur und Umwelt;Verkehrsbetriebe/ÖPNV;1700;Erträge;Plan;2018
5480;Planung, Bauen, Natur und Umwelt;Sonstiger Personen und Güterverkehr;1102;Erträge;Plan;2018
5510;Planung, Bauen, Natur und Umwelt;Öffentliches Grün/Landschaftsbau u.a.;76525;Erträge;Plan;2018
5520;Planung, Bauen, Natur und Umwelt;Gewässerschutz/Öffentl. Gewässer;120803;Erträge;Plan;2018
5530;Planung, Bauen, Natur und Umwelt;Friedhofs- und Bestattungswesen;1104585;Erträge;Plan;2018
5540;Planung, Bauen, Natur und Umwelt;Naturschutz und Landschaftspflege;10400;Erträge;Plan;2018
5550;Planung, Bauen, Natur und Umwelt;Forstwirtschaft;689000;Erträge;Plan;2018
5610;Planung, Bauen, Natur und Umwelt;Umweltschutzmaßnahmen;20729;Erträge;Plan;2018
5710;Wirtschaft und Tourismus;Wirtschaftsförderung;5100;Erträge;Plan;2018
5730;Wirtschaft und Tourismus;Allgemeine Einrichtungen und Unternehmen;525056;Erträge;Plan;2018
5750;Wirtschaft und Tourismus;Tourismus;1745478;Erträge;Plan;2018
6110;Allgemeine Finanzwirtschaft;Steuern, allgmeine Zuweis. u. Umlagen;86895880;Erträge;Plan;2018
6120;Allgemeine Finanzwirtschaft;Sonstige allgemeine Finanzwirtschaft;2515200;Erträge;Plan;2018
1110;Innere Verwaltung;Steuerung;5285717;Aufwendungen;Plan;2018
1111;Innere Verwaltung;Org.& komm.;456801;Aufwendungen;Plan;2018
1112;Innere Verwaltung;Steuerungsunterstützung/Controlling;1200752;Aufwendungen;Plan;2018
1113;Innere Verwaltung;Rechnungsprüfung;469383;Aufwendungen;Plan;2018
1114;Innere Verwaltung;Zentrale Funktionen;458579;Aufwendungen;Plan;2018
1120;Innere Verwaltung;Organisation und EDV;1092884;Aufwendungen;Plan;2018
1121;Innere Verwaltung;Personalwesen;2467535;Aufwendungen;Plan;2018
1122;Innere Verwaltung;Finanzverwaltung, Kasse;1146864;Aufwendungen;Plan;2018
1123;Innere Verwaltung;Justiziariat;776375;Aufwendungen;Plan;2018
1124;Innere Verwaltung;Gebäude- u. tech. Immobilienmanagement;9015989;Aufwendungen;Plan;2018
11240201;Innere Verwaltung;Grundschulen;923669;Aufwendungen;Plan;2018
11240203;Innere Verwaltung;Grund-, Haupt-, Werkrealschulen;1862292;Aufwendungen;Plan;2018
11240204;Innere Verwaltung;Realschulen;963445;Aufwendungen;Plan;2018
11240206;Innere Verwaltung;Gymnasien;2308875;Aufwendungen;Plan;2018
11240217;Innere Verwaltung;Förderschulen;160402;Aufwendungen;Plan;2018
11240240;Innere Verwaltung;Tageseinrichtungen für Kinder (0-6 J.);744618;Aufwendungen;Plan;2018
11240241;Innere Verwaltung;Tageseinrichtungen für Kinder (7-14 J.);52811;Aufwendungen;Plan;2018
1125;Innere Verwaltung;Grünanlagen, Werkstätten und Fahrzeuge;5683643;Aufwendungen;Plan;2018
1126;Innere Verwaltung;Zentrale Dienstleistungen;574360;Aufwendungen;Plan;2018
1130;Innere Verwaltung;Presse- und Öffentlichkeitsarbeit;260082;Aufwendungen;Plan;2018
1132;Innere Verwaltung;Abgabewesen;712044;Aufwendungen;Plan;2018
1133;Innere Verwaltung;Grundstücksmanagement;1469467;Aufwendungen;Plan;2018
1210;Sicherheit und Ordnung;Statistik und Wahlen;22827;Aufwendungen;Plan;2018
1220;Sicherheit und Ordnung;Ordnungswesen;1194606;Aufwendungen;Plan;2018
1221;Sicherheit und Ordnung;Verkehrswesen;1445933;Aufwendungen;Plan;2018
1222;Sicherheit und Ordnung;Einwohnerwesen;1781591;Aufwendungen;Plan;2018
1223;Sicherheit und Ordnung;Personenstandswesen;278923;Aufwendungen;Plan;2018
1224;Sicherheit und Ordnung;Kommunales Grundbuchwesen;28273;Aufwendungen;Plan;2018
1225;Sicherheit und Ordnung;Sozialversicherung;70179;Aufwendungen;Plan;2018
1260;Sicherheit und Ordnung;Brandschutz;2159713;Aufwendungen;Plan;2018
1280;Sicherheit und Ordnung;Katastrophenschutz;95202;Aufwendungen;Plan;2018
211001;Schulen;Grundschulen;4005793;Aufwendungen;Plan;2018
211003;Schulen;Grund-, Haupt- u. Werkrealschulen;2171231;Aufwendungen;Plan;2018
211004;Schulen;Realschulen;2188695;Aufwendungen;Plan;2018
211006;Schulen;Gymnasien;3158648;Aufwendungen;Plan;2018
212002;Schulen;Förderschulen;593591;Aufwendungen;Plan;2018
214001;Schulen;Schülerbeförderung;108545;Aufwendungen;Plan;2018
214002;Schulen;Fördermaßnahmen für Schüler;46502;Aufwendungen;Plan;2018
2150;Schulen;Sonst. Schulische Aufg. u. Einrichtungen;323952;Aufwendungen;Plan;2018
2520;Kultur;Kommunale Museen;1311531;Aufwendungen;Plan;2018
2521;Kultur;Archiv;333589;Aufwendungen;Plan;2018
2610;Kultur;Theater;1915048;Aufwendungen;Plan;2018
2620;Kultur;Musikpflege;1349444;Aufwendungen;Plan;2018
2630;Kultur;Musikschulen;3633440;Aufwendungen;Plan;2018
2810;Kultur;Sonstige Kulturpflege;338358;Aufwendungen;Plan;2018
2710;Bildung;Volkshochschulen;743152;Aufwendungen;Plan;2018
2720;Bildung;Bibliotheken;868857;Aufwendungen;Plan;2018
2730;Bildung;Kulturpädagogische Einrichtungen;161090;Aufwendungen;Plan;2018
311007;Soziales;Hilfen bei bes. sozialen Schwierigkeiten;128113;Aufwendungen;Plan;2018
31100501;Soziales;Hilfe zum Lebensunterhalt;23950;Aufwendungen;Plan;2018
3140;Soziales;Soziale Einrichtungen;1749942;Aufwendungen;Plan;2018
3160;Soziales;Förderung v. Trägern d. Wohlfahrtspflege;70445;Aufwendungen;Plan;2018
3180;Soziales;Sonstige soziale Hilfen und Leistungen;500515;Aufwendungen;Plan;2018
362001;Soziales;Kinder- und Jugendarbeit;249196;Aufwendungen;Plan;2018
362002;Soziales;Jugendsozialarbeit;396125;Aufwendungen;Plan;2018
362003;Soziales;Beteil. u. Interessenvertr. v. Jugendl.;168798;Aufwendungen;Plan;2018
362004;Soziales;Einrichtungen der Jugendarbeit;438740;Aufwendungen;Plan;2018
363003;Soziales;Ind. Hilfen f. ju. Mensch. u. ihre Fam.;69554;Aufwendungen;Plan;2018
36500101;Soziales;Förderung v. Kindern in Gruppen (0-6 J.);11418691;Aufwendungen;Plan;2018
36500102;Soziales;Förderung v. Kind. In Gruppen (7-14 J.);1460674;Aufwendungen;Plan;2018
3680;Soziales;Kooperation und Vernetzung;169705;Aufwendungen;Plan;2018
4140;Soziales;Maßnahmen der Gesundheitspflege;9230;Aufwendungen;Plan;2018
4210;Sport;Förderung des Sports;1114943;Aufwendungen;Plan;2018
4241;Sport;Sportstätten;1472102;Aufwendungen;Plan;2018
5110;Planung, Bauen, Natur und Umwelt;Stadtentwicklung, Städtebauliche Planung;2174885;Aufwendungen;Plan;2018
5111;Planung, Bauen, Natur und Umwelt;Flächen- und grundstücksbezogene Daten;439720;Aufwendungen;Plan;2018
5210;Planung, Bauen, Natur und Umwelt;Bauordnung;679823;Aufwendungen;Plan;2018
5220;Planung, Bauen, Natur und Umwelt;Wohnungsbauförderung u. Versorgung;293844;Aufwendungen;Plan;2018
5230;Planung, Bauen, Natur und Umwelt;Denkmalschutz und Denkmalpflege;6600;Aufwendungen;Plan;2018
5360;Planung, Bauen, Natur und Umwelt;Telekommunikationseinrichtungen;325350;Aufwendungen;Plan;2018
5370;Planung, Bauen, Natur und Umwelt;Abfallwirtschaft;570295;Aufwendungen;Plan;2018
541001;Planung, Bauen, Natur und Umwelt;Gemeindestraßen;10298763;Aufwendungen;Plan;2018
541007;Planung, Bauen, Natur und Umwelt;Straßenreinigung;698477;Aufwendungen;Plan;2018
541008;Planung, Bauen, Natur und Umwelt;Winterdienst;229407;Aufwendungen;Plan;2018
541009;Planung, Bauen, Natur und Umwelt;Toilettenanlagen Gemeindestraßen;174427;Aufwendungen;Plan;2018
5460;Planung, Bauen, Natur und Umwelt;Parkierungseinrichtungen;31767;Aufwendungen;Plan;2018
5470;Planung, Bauen, Natur und Umwelt;Verkehrsbetriebe/ÖPNV;1718018;Aufwendungen;Plan;2018
5480;Planung, Bauen, Natur und Umwelt;Sonstiger Personen und Güterverkehr;38636;Aufwendungen;Plan;2018
5510;Planung, Bauen, Natur und Umwelt;Öffentliches Grün/Landschaftsbau u.a.;2865820;Aufwendungen;Plan;2018
5520;Planung, Bauen, Natur und Umwelt;Gewässerschutz/Öffentl. Gewässer;1200745;Aufwendungen;Plan;2018
5530;Planung, Bauen, Natur und Umwelt;Friedhofs- und Bestattungswesen;1950376;Aufwendungen;Plan;2018
5540;Planung, Bauen, Natur und Umwelt;Naturschutz und Landschaftspflege;47226;Aufwendungen;Plan;2018
5550;Planung, Bauen, Natur und Umwelt;Forstwirtschaft;1274008;Aufwendungen;Plan;2018
5610;Planung, Bauen, Natur und Umwelt;Umweltschutzmaßnahmen;154662;Aufwendungen;Plan;2018
5710;Wirtschaft und Tourismus;Wirtschaftsförderung;337847;Aufwendungen;Plan;2018
5730;Wirtschaft und Tourismus;Allgemeine Einrichtungen und Unternehmen;1331131;Aufwendungen;Plan;2018
5750;Wirtschaft und Tourismus;Tourismus;4450756;Aufwendungen;Plan;2018
6110;Allgemeine Finanzwirtschaft;Steuern, allgmeine Zuweis. u. Umlagen;39727933;Aufwendungen;Plan;2018
6120;Allgemeine Finanzwirtschaft;Sonstige allgemeine Finanzwirtschaft;1193203;Aufwendungen;Plan;2018
