Index;Teilhaushalt;Produktgruppe;Betrag;Richtung;Art;Jahr
1110;Allgemeine Verwaltung;Steuerung;1231582;Aufwendungen;Plan;2018
1111;Allgemeine Verwaltung;Organisation und Dokumentation kommunaler Willensbildung;439162;Aufwendungen;Plan;2018
1112;Allgemeine Verwaltung;Steuerungsunterstützung und Controlling;799448;Aufwendungen;Plan;2018
1113;Allgemeine Verwaltung;Rechnungsprüfung;319991;Aufwendungen;Plan;2018
1114;Allgemeine Verwaltung;Zentrale Funktionen;478935;Aufwendungen;Plan;2018
1120;Allgemeine Verwaltung;Organisation und EDV;1993426;Aufwendungen;Plan;2018
1121;Allgemeine Verwaltung;Personalwesen;2182227;Aufwendungen;Plan;2018
1122;Allgemeine Verwaltung;Finanzverwaltung, Kasse;1157321;Aufwendungen;Plan;2018
1123;Allgemeine Verwaltung;Justitiariat;812361;Aufwendungen;Plan;2018
1124;Allgemeine Verwaltung;Gebäudemanagement, Techn. Immobilienmanagement;6602632;Aufwendungen;Plan;2018
1125;Allgemeine Verwaltung;Grünanlagen, Werkstätten und Fahrzeuge;5291578;Aufwendungen;Plan;2018
1126;Allgemeine Verwaltung;Zentrale Dienstleistungen;643790;Aufwendungen;Plan;2018
1130;Allgemeine Verwaltung;Presse- und Öffentlichkeitsarbeit;145760;Aufwendungen;Plan;2018
1132;Allgemeine Verwaltung;Abgabewesen;283099;Aufwendungen;Plan;2018
1133;Allgemeine Verwaltung;Grundstücksmanagement;1286814;Aufwendungen;Plan;2018
1210;Sicherheit und Ordnung;Statistik und Wahlen;149138;Aufwendungen;Plan;2018
1220;Sicherheit und Ordnung;Ordnungswesen;702074;Aufwendungen;Plan;2018
1221;Sicherheit und Ordnung;Verkehrswesen;867553;Aufwendungen;Plan;2018
1222;Sicherheit und Ordnung;Einwohnerwesen;1292438;Aufwendungen;Plan;2018
1223;Sicherheit und Ordnung;Personenstandswesen;456717;Aufwendungen;Plan;2018
1224;Sicherheit und Ordnung;Grundbuchwesen;5583;Aufwendungen;Plan;2018
1225;Sicherheit und Ordnung;Sozialversicherung;133413;Aufwendungen;Plan;2018
1260;Sicherheit und Ordnung;Brandschutz;2254163;Aufwendungen;Plan;2018
1280;Sicherheit und Ordnung;Katastrophenschutz;23262;Aufwendungen;Plan;2018
211001;Schulträgeraufgaben;Grundschulen und Schulverbünde mit Gemeinschaftsschulen mit Überwiegen der Grundschule;4759432;Aufwendungen;Plan;2018
211004;Schulträgeraufgaben;Realschulen und Schulverbünde mit Gemeinschaftsschulen mit Überwiegen der Realschulen;1007620;Aufwendungen;Plan;2018
211006;Schulträgeraufgaben;Gymnasien und Schulverbünde mit Gymnasien;5165011;Aufwendungen;Plan;2018
2120;Schulträgeraufgaben;Sonderpädagogische Bildungs- und Beratungszentren;568258;Aufwendungen;Plan;2018
2140;Schulträgeraufgaben;Schülerbezogene Leistungen;123660;Aufwendungen;Plan;2018
2150;Schulträgeraufgaben;Sonstige schulische Aufgaben und Einrichtungen;1138770;Aufwendungen;Plan;2018
2520;Kultur;Kommunale Museen;243263;Aufwendungen;Plan;2018
2521;Kultur;Archiv;445553;Aufwendungen;Plan;2018
2620;Kultur;Musikpflege;79110;Aufwendungen;Plan;2018
2630;Kultur;Musikschulen;728847;Aufwendungen;Plan;2018
2710;Kultur;Volkshochschulen;378482;Aufwendungen;Plan;2018
2720;Kultur;Bibliotheken;944667;Aufwendungen;Plan;2018
2810;Kultur;Sonstige Kulturpflege;713644;Aufwendungen;Plan;2018
3140;Kinder, Jugend und Soziales;Soziale Einrichtungen;1191369;Aufwendungen;Plan;2018
3150;Kinder, Jugend und Soziales;Leistungen nach dem Bundesversorgungsgesetz;18206;Aufwendungen;Plan;2018
3160;Kinder, Jugend und Soziales;Sonstige Förderung von Trägern der Wohlfahrtspflege;50830;Aufwendungen;Plan;2018
3180;Kinder, Jugend und Soziales;Sonstige soziale Hilfen und Leistungen;540809;Aufwendungen;Plan;2018
3620;Kinder, Jugend und Soziales;Allgemeine Förderung junger Menschen;1055975;Aufwendungen;Plan;2018
3630;Kinder, Jugend und Soziales;Hilfen für junge Menschen und ihre Familien;170000;Aufwendungen;Plan;2018
3650;Kinder, Jugend und Soziales;Tageseinrichtungen für Kinder und Kindertagespflege;19174397;Aufwendungen;Plan;2018
36500101;Kinder, Jugend und Soziales;Förderung von Kindern in Gruppen für 0 bis 6-jährige;17587758;Aufwendungen;Plan;2018
36500102;Kinder, Jugend und Soziales;Förderung von Kindern in Gruppen für 7 bis 14-jährige;1215386;Aufwendungen;Plan;2018
3680;Kinder, Jugend und Soziales;Kooperation und Vernetzung;47853;Aufwendungen;Plan;2018
4210;Gesundheit, Sport und Bäder;Förderung des Sports;590380;Aufwendungen;Plan;2018
4240;Gesundheit, Sport und Bäder;Bäder;1077195;Aufwendungen;Plan;2018
4241;Gesundheit, Sport und Bäder;Sportstätten;2827672;Aufwendungen;Plan;2018
5110;Planung, Infrastruktur und Umwelt;Stadtentwicklung, Städtebauliche Planung, Verkehrsplanung u. Stadterneuerung;1435242;Aufwendungen;Plan;2018
5111;Planung, Infrastruktur und Umwelt;Flächen- und grundstücksbezogene Daten und Grundlagen;978783;Aufwendungen;Plan;2018
5210;Planung, Infrastruktur und Umwelt;Bauordnung;549894;Aufwendungen;Plan;2018
5220;Planung, Infrastruktur und Umwelt;Wohnungsbauförderung und Wohnungsversorgung;86527;Aufwendungen;Plan;2018
5230;Planung, Infrastruktur und Umwelt;Denkmalschutz und Denkmalpflege;34520;Aufwendungen;Plan;2018
5410;Planung, Infrastruktur und Umwelt;Gemeindestraßen;9250779;Aufwendungen;Plan;2018
5420;Planung, Infrastruktur und Umwelt;Kreisstraßen;42088;Aufwendungen;Plan;2018
5430;Planung, Infrastruktur und Umwelt;Landesstraßen;1182090;Aufwendungen;Plan;2018
5440;Planung, Infrastruktur und Umwelt;Bundesstraßen;58847;Aufwendungen;Plan;2018
5450;Planung, Infrastruktur und Umwelt;Straßenreinigung und Winterdienst;1710788;Aufwendungen;Plan;2018
