Amt / Dienststelle,Betrag,Dezernatsbezeichnung,Teilhaushalte,Produktgruppe,Dezernat,Produktgruppenbezeichnung,Teilhaushalte Bezeichnung,Produktbezeichnung,Produkt,Amt / Dienststelle Bezeichnung,Jahr,Produktbereich,Art,Produktbereich Bezeichnung
AMT-156,18024.0,Dezernat I OB Dr. Salomon,THH_01,1222,DEZ-I,Einwohnerwesen,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",Bürgerservice,122204,156 Ortsverw. Hochdorf,2015,12,Erträge,Sicherheit und Ordnung
AMT-156,191842.0,Dezernat I OB Dr. Salomon,THH_01,1222,DEZ-I,Einwohnerwesen,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",Bürgerservice,122204,156 Ortsverw. Hochdorf,2015,12,Aufwendungen,Sicherheit und Ordnung
AMT-156,17950.0,Dezernat I OB Dr. Salomon,THH_01,1222,DEZ-I,Einwohnerwesen,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",Bürgerservice,122204,156 Ortsverw. Hochdorf,2016,12,Erträge,Sicherheit und Ordnung
AMT-156,138472.0,Dezernat I OB Dr. Salomon,THH_01,1222,DEZ-I,Einwohnerwesen,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",Bürgerservice,122204,156 Ortsverw. Hochdorf,2016,12,Aufwendungen,Sicherheit und Ordnung
AMT-156,18026.0,Dezernat I OB Dr. Salomon,THH_01,1222,DEZ-I,Einwohnerwesen,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",Bürgerservice,122204,156 Ortsverw. Hochdorf,2017,12,Erträge,Sicherheit und Ordnung
AMT-156,192649.0,Dezernat I OB Dr. Salomon,THH_01,1222,DEZ-I,Einwohnerwesen,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",Bürgerservice,122204,156 Ortsverw. Hochdorf,2017,12,Aufwendungen,Sicherheit und Ordnung
AMT-156,18026.0,Dezernat I OB Dr. Salomon,THH_01,1222,DEZ-I,Einwohnerwesen,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",Bürgerservice,122204,156 Ortsverw. Hochdorf,2018,12,Erträge,Sicherheit und Ordnung
AMT-156,194892.0,Dezernat I OB Dr. Salomon,THH_01,1222,DEZ-I,Einwohnerwesen,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",Bürgerservice,122204,156 Ortsverw. Hochdorf,2018,12,Aufwendungen,Sicherheit und Ordnung
AMT-157,11082.0,Dezernat I OB Dr. Salomon,THH_01,1222,DEZ-I,Einwohnerwesen,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",Bürgerservice,122204,157 Ortsverw. Ebnet,2015,12,Erträge,Sicherheit und Ordnung
AMT-157,124115.0,Dezernat I OB Dr. Salomon,THH_01,1222,DEZ-I,Einwohnerwesen,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",Bürgerservice,122204,157 Ortsverw. Ebnet,2015,12,Aufwendungen,Sicherheit und Ordnung
AMT-157,9170.0,Dezernat I OB Dr. Salomon,THH_01,1222,DEZ-I,Einwohnerwesen,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",Bürgerservice,122204,157 Ortsverw. Ebnet,2016,12,Erträge,Sicherheit und Ordnung
AMT-157,132636.0,Dezernat I OB Dr. Salomon,THH_01,1222,DEZ-I,Einwohnerwesen,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",Bürgerservice,122204,157 Ortsverw. Ebnet,2016,12,Aufwendungen,Sicherheit und Ordnung
AMT-157,11580.0,Dezernat I OB Dr. Salomon,THH_01,1222,DEZ-I,Einwohnerwesen,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",Bürgerservice,122204,157 Ortsverw. Ebnet,2017,12,Erträge,Sicherheit und Ordnung
AMT-157,100439.0,Dezernat I OB Dr. Salomon,THH_01,1222,DEZ-I,Einwohnerwesen,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",Bürgerservice,122204,157 Ortsverw. Ebnet,2017,12,Aufwendungen,Sicherheit und Ordnung
AMT-157,11580.0,Dezernat I OB Dr. Salomon,THH_01,1222,DEZ-I,Einwohnerwesen,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",Bürgerservice,122204,157 Ortsverw. Ebnet,2018,12,Erträge,Sicherheit und Ordnung
AMT-157,101527.0,Dezernat I OB Dr. Salomon,THH_01,1222,DEZ-I,Einwohnerwesen,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",Bürgerservice,122204,157 Ortsverw. Ebnet,2018,12,Aufwendungen,Sicherheit und Ordnung
AMT-158,8600.0,Dezernat I OB Dr. Salomon,THH_01,1222,DEZ-I,Einwohnerwesen,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",Bürgerservice,122204,158 Ortsverw. Kappel,2015,12,Erträge,Sicherheit und Ordnung
AMT-158,142528.0,Dezernat I OB Dr. Salomon,THH_01,1222,DEZ-I,Einwohnerwesen,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",Bürgerservice,122204,158 Ortsverw. Kappel,2015,12,Aufwendungen,Sicherheit und Ordnung
AMT-158,9200.0,Dezernat I OB Dr. Salomon,THH_01,1222,DEZ-I,Einwohnerwesen,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",Bürgerservice,122204,158 Ortsverw. Kappel,2016,12,Erträge,Sicherheit und Ordnung
AMT-158,139156.0,Dezernat I OB Dr. Salomon,THH_01,1222,DEZ-I,Einwohnerwesen,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",Bürgerservice,122204,158 Ortsverw. Kappel,2016,12,Aufwendungen,Sicherheit und Ordnung
AMT-158,8580.0,Dezernat I OB Dr. Salomon,THH_01,1222,DEZ-I,Einwohnerwesen,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",Bürgerservice,122204,158 Ortsverw. Kappel,2017,12,Erträge,Sicherheit und Ordnung
AMT-158,137523.0,Dezernat I OB Dr. Salomon,THH_01,1222,DEZ-I,Einwohnerwesen,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",Bürgerservice,122204,158 Ortsverw. Kappel,2017,12,Aufwendungen,Sicherheit und Ordnung
AMT-158,8580.0,Dezernat I OB Dr. Salomon,THH_01,1222,DEZ-I,Einwohnerwesen,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",Bürgerservice,122204,158 Ortsverw. Kappel,2018,12,Erträge,Sicherheit und Ordnung
AMT-158,139955.0,Dezernat I OB Dr. Salomon,THH_01,1222,DEZ-I,Einwohnerwesen,"THH 1 Gemeinderat, Bürgermeisteramt, OVs",Bürgerservice,122204,158 Ortsverw. Kappel,2018,12,Aufwendungen,Sicherheit und Ordnung
AMT-540,115280.0,Dezernat III BM von Kirchbach,THH_14,1222,DEZ-III,Einwohnerwesen,THH 14 Amt f. Migration und Integration,Einbürgerungen/Festst.Staatsangehörigk.,122205,540 Amt f. Migration und Integration,2015,12,Erträge,Sicherheit und Ordnung
AMT-540,176299.0,Dezernat III BM von Kirchbach,THH_14,1222,DEZ-III,Einwohnerwesen,THH 14 Amt f. Migration und Integration,Einbürgerungen/Festst.Staatsangehörigk.,122205,540 Amt f. Migration und Integration,2015,12,Aufwendungen,Sicherheit und Ordnung
AMT-540,155000.0,Dezernat III BM von Kirchbach,THH_14,1222,DEZ-III,Einwohnerwesen,THH 14 Amt f. Migration und Integration,Einbürgerungen/Festst.Staatsangehörigk.,122205,540 Amt f. Migration und Integration,2016,12,Erträge,Sicherheit und Ordnung
AMT-540,259197.0,Dezernat III BM von Kirchbach,THH_14,1222,DEZ-III,Einwohnerwesen,THH 14 Amt f. Migration und Integration,Einbürgerungen/Festst.Staatsangehörigk.,122205,540 Amt f. Migration und Integration,2016,12,Aufwendungen,Sicherheit und Ordnung
AMT-540,0.0,Dezernat III BM von Kirchbach,THH_14,1222,DEZ-III,Einwohnerwesen,THH 14 Amt f. Migration und Integration,Einbürgerungen/Festst.Staatsangehörigk.,122205,540 Amt f. Migration und Integration,2017,12,Erträge,Sicherheit und Ordnung
AMT-540,195724.0,Dezernat III BM von Kirchbach,THH_14,1222,DEZ-III,Einwohnerwesen,THH 14 Amt f. Migration und Integration,Einbürgerungen/Festst.Staatsangehörigk.,122205,540 Amt f. Migration und Integration,2017,12,Aufwendungen,Sicherheit und Ordnung
AMT-540,0.0,Dezernat III BM von Kirchbach,THH_14,1222,DEZ-III,Einwohnerwesen,THH 14 Amt f. Migration und Integration,Einbürgerungen/Festst.Staatsangehörigk.,122205,540 Amt f. Migration und Integration,2018,12,Erträge,Sicherheit und Ordnung
AMT-540,232357.0,Dezernat III BM von Kirchbach,THH_14,1222,DEZ-III,Einwohnerwesen,THH 14 Amt f. Migration und Integration,Einbürgerungen/Festst.Staatsangehörigk.,122205,540 Amt f. Migration und Integration,2018,12,Aufwendungen,Sicherheit und Ordnung
