ID;Jahr;Haushalt Art;Einzelplan (W);Bezeichnung EP (W);Einzelplan|Bezeichnung (F);Gliederung;Bezeichnung Gliederung;Gliederung|Bezeichnung (F);Gruppierung;Bezeichnung;Gruppierung|Bezeichnung (F);Einnahme|Ausgabe;Betrag;Ansatz|Rechnung
1;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;1650;Erstattungen durch kommunale Sonderrechnungen (SAh);1650 - Erstattungen durch kommunale Sonderrechnungen (SAh);Einnahme;67800,00;Ansatz
2;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;1650;Erstattungen durch kommunale Sonderrechnungen (GWF);1650 - Erstattungen durch kommunale Sonderrechnungen (GWF);Einnahme;193700,00;Ansatz
3;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;1651;Erstattungen von Eigenbetrieben (StEF);1651 - Erstattungen von Eigenbetrieben (StEF);Einnahme;133700,00;Ansatz
4;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;1692;Innere Verrechnung Verwaltungskostenbeiträge;1692 - Innere Verrechnung Verwaltungskostenbeiträge;Einnahme;431400,00;Ansatz
5;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;1698;Innere Verrechnung innerstädt. Leistungen;1698 - Innere Verrechnung innerstädt. Leistungen;Einnahme;0,00;Ansatz
6;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;1783;Spenden Verfügungsmittel OBM;1783 - Spenden Verfügungsmittel OBM;Einnahme;0,00;Ansatz
7;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;1783;Spenden (Preisverleihungen);1783 - Spenden (Preisverleihungen);Einnahme;750,00;Ansatz
8;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;2971;Projektmittelübertrag;2971 - Projektmittelübertrag;Einnahme;0,00;Ansatz
9;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;4090;Aufwendungen für ehrenamtliche Tätigkeit;4090 - Aufwendungen für ehrenamtliche Tätigkeit;Ausgabe;634500,00;Ansatz
10;2018;Verwaltung;0;Allgemeine Verwaltung;0 - Allgemeine Verwaltung;0;Stadtrat;0000 - Stadtrat;4100;Beamtenbezüge;4100 - Beamtenbezüge;Ausgabe;198100,00;Ansatz
