"ID";"EPL";"AB";"PG";"Betrag";"Berichtsjahr";"Werttyp";"Erlöse_Kosten"
20317;"Bürgerschaft";"Bürgerschaft";"Bürgerschaftskanzlei";236258,00;"2016";"Ist";"Erlöse"
20318;"Bürgerschaft";"Bürgerschaft";"Bürgerschaftskanzlei";10128980,00;"2016";"Ist";"Kosten"
20319;"Bürgerschaft";"Bürgerschaft";"Bürgerschaftskanzlei";0,00;"2017";"Ist";"Kosten"
20320;"Bürgerschaft";"Bürgerschaft";"Bürgerschaftskanzlei";0,00;"2019";"Plan";"Erlöse"
20321;"Bürgerschaft";"Bürgerschaft";"Bürgerschaftskanzlei";0,00;"2019";"Plan";"Kosten"
20322;"Bürgerschaft";"Bürgerschaft";"Bürgerschaftskanzlei";0,00;"2020";"Plan";"Erlöse"
20323;"Bürgerschaft";"Bürgerschaft";"Bürgerschaftskanzlei";0,00;"2020";"Plan";"Kosten"
20324;"Bürgerschaft";"Bürgerschaft";"Bürgerschaftskanzlei";0,00;"2021";"Plan";"Erlöse"
20325;"Bürgerschaft";"Bürgerschaft";"Bürgerschaftskanzlei";0,00;"2021";"Plan";"Kosten"
20326;"Bürgerschaft";"Bürgerschaft";"Bürgerschaftskanzlei";0,00;"2022";"Plan";"Erlöse"
20327;"Bürgerschaft";"Bürgerschaft";"Bürgerschaftskanzlei";0,00;"2022";"Plan";"Kosten"
20328;"Bürgerschaft";"Bürgerschaft";"Zahlungen n. HmbAbgG, FraktG u. PartG";85541,00;"2016";"Ist";"Erlöse"
20329;"Bürgerschaft";"Bürgerschaft";"Zahlungen n. HmbAbgG, FraktG u. PartG";19213158,00;"2016";"Ist";"Kosten"
20330;"Bürgerschaft";"Bürgerschaft";"Bürgerschaftskanzlei";258084,00;"2017";"Ist";"Erlöse"
20331;"Bürgerschaft";"Bürgerschaft";"Bürgerschaftskanzlei";35994184,00;"2017";"Ist";"Kosten"
20332;"Bürgerschaft";"Bürgerschaft";"Bürgerschaftskanzlei";8220,00;"2018";"Fortgeschriebener Plan";"Erlöse"
20333;"Bürgerschaft";"Bürgerschaft";"Bürgerschaftskanzlei";32504585,00;"2018";"Fortgeschriebener Plan";"Kosten"
20334;"Bürgerschaft";"Bürgerschaft";"Bürgerschaftskanzlei";65220,00;"2019";"Plan";"Erlöse"
20335;"Bürgerschaft";"Bürgerschaft";"Bürgerschaftskanzlei";33705844,00;"2019";"Plan";"Kosten"
20336;"Bürgerschaft";"Bürgerschaft";"Bürgerschaftskanzlei";67220,00;"2020";"Plan";"Erlöse"
20337;"Bürgerschaft";"Bürgerschaft";"Bürgerschaftskanzlei";35958929,00;"2020";"Plan";"Kosten"
20338;"Bürgerschaft";"Bürgerschaft";"Bürgerschaftskanzlei";70220,00;"2021";"Plan";"Erlöse"
20339;"Bürgerschaft";"Bürgerschaft";"Bürgerschaftskanzlei";34797905,00;"2021";"Plan";"Kosten"
20340;"Bürgerschaft";"Bürgerschaft";"Bürgerschaftskanzlei";72219,00;"2022";"Plan";"Erlöse"
20341;"Bürgerschaft";"Bürgerschaft";"Bürgerschaftskanzlei";35172906,00;"2022";"Plan";"Kosten"
20342;"Verfassungsgericht";"Verfassungsgericht";"Verfassungsgericht";44918,00;"2016";"Ist";"Kosten"
20343;"Verfassungsgericht";"Verfassungsgericht";"Verfassungsgericht";41604,00;"2017";"Ist";"Kosten"
20344;"Verfassungsgericht";"Verfassungsgericht";"Verfassungsgericht";107300,00;"2018";"Fortgeschriebener Plan";"Kosten"
20345;"Verfassungsgericht";"Verfassungsgericht";"Verfassungsgericht";170000,00;"2019";"Plan";"Kosten"
20346;"Verfassungsgericht";"Verfassungsgericht";"Verfassungsgericht";172000,00;"2020";"Plan";"Kosten"
20347;"Verfassungsgericht";"Verfassungsgericht";"Verfassungsgericht";173000,00;"2021";"Plan";"Kosten"
20348;"Verfassungsgericht";"Verfassungsgericht";"Verfassungsgericht";175000,00;"2022";"Plan";"Kosten"
