"ID";"Jahr";"Bereich";"Bereichbezeichnung";"Gruppe";"Gruppen-Bezeichnung";"Produkt";"Produkt-Bezeichnung";"FIBU-Konto";"Konto-Bezeichnung";"Art";"Ansatz"
1;2015;"05";"Soziale Leistungen";"05311";"Grundversorgung und Leistungen nach dem Zwölften Buch Sozialgesetzbuch";"0531101";"Grundversorgung und Leistungen nach dem Zwölften Buch Sozialgesetzbuch";4211032;"Kosten-/Aufwendungsersatz Pflichtige";"Einnahmen";2000
2;2015;"16";"Allgemeine Finanzwirtschaft";"16611";"Steuern, allgemeine Zuweisungen und allgemeine Umlagen";"1661101";"Steuern, allgemeine Zuweisungen und allgemeine Umlagen";4013000;"Gewerbesteuer";"Einnahmen";3197513
3;2015;"13";"Natur und Landschaftspflege";"13553";"Friedhofs- und Bestattungswesen";"1355301";"Friedhöfe";5241000;"Bewirtschaftungsaufwand";"Ausgaben";10986
4;2015;"15";"Wirtschaft und Tourismus";"15573";"Allgemeine Einrichtungen und Unternehmen";"1557303";"Solaranlage Maarhalle";4421001;"Einspeisevergütung Solaranlagen";"Einnahmen";12000
5;2015;"15";"Wirtschaft und Tourismus";"15573";"Allgemeine Einrichtungen und Unternehmen";"1557305";"Solaranlage Rathaus";4421001;"Einspeisevergütung Solaranlagen";"Einnahmen";12000
6;2015;"05";"Soziale Leistungen";"05313";"Leistungen für Asylbewerber";"0531301";"Leistungen für Asylbewerber";4211009;"Ersatzleistungen v. Dritten";"Einnahmen";500
7;2015;"15";"Wirtschaft und Tourismus";"15573";"Allgemeine Einrichtungen und Unternehmen";"1557301";"Öffentliche Gemeinschaftseinrichtungen, Märkte";5241000;"Bewirtschaftungsaufwand";"Ausgaben";23207
8;2015;"15";"Wirtschaft und Tourismus";"15573";"Allgemeine Einrichtungen und Unternehmen";"1557301";"Öffentliche Gemeinschaftseinrichtungen, Märkte";4321013;"Entgelte Bürg.hs Me, Lindenpl.";"Einnahmen";5500
9;2015;"02";"Sicherheit und Ordnung";"02126";"Brandschutz";"0212601";"Brandschutz";5241000;"Bewirtschaftungsaufwand";"Ausgaben";15611
10;2015;"03";"Schulträgeraufgaben";"03211";"Grundschulen";"0321101";"Bereitstellung und Betrieb von Grundschulen";5241000;"Bewirtschaftungsaufwand";"Ausgaben";95279
11;2015;"08";"Sportförderung";"08424";"Sportstätten und Bäder";"0842401";"Bereitstellung und Betrieb von Sportanlagen";5241007;"Stromk.(Train.bel.)f.Sportpl. ";"Ausgaben";2180
12;2015;"11";"Ver- und Entsorgung";"11538";"Abwasserbeseitigung";"1153801";"Abwasserbeseitigung";5211014;"Unterhaltung der Sammler      ";"Ausgaben";48500
13;2015;"03";"Schulträgeraufgaben";"03211";"Grundschulen";"0321101";"Bereitstellung und Betrieb von Grundschulen";4411002;"Mieteinn. f. Hallennutzung    ";"Einnahmen";3500
14;2015;"10";"Bauen und Wohnen";"10523";"Denkmalschutz und -pflege";"1052301";"Denkmalschutz und -pflege";5211019;"Unterh.-u.Bewirtsch.Wasserturm";"Ausgaben";5536
15;2015;"01";"Innere Verwaltung";"01111";"Verwaltungssteuerung und Service";"0111105";"Bauhof";5241000;"Bewirtschaftungsaufwand";"Ausgaben";5254
16;2015;"01";"Innere Verwaltung";"01111";"Verwaltungssteuerung und Service";"0111109";"zentrale Gebäudewirtschaft";5241000;"Bewirtschaftungsaufwand";"Ausgaben";20412
17;2015;"05";"Soziale Leistungen";"05315";"Soziale Einrichtungen";"0531502";"Soziale Einrichtungen für Wohnungslose, Aussiedler und Asylbewerber";5241000;"Bewirtschaftungsaufwand";"Ausgaben";45836
