art_label,produktbereich_name,produktbereich_label,amount,time_year,produktgruppe_name,produktgruppe_label
Ertrag,1,Innere Verwaltung,461415,2012,101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten"
Aufwand,1,Innere Verwaltung,14818542,2012,101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten"
Ertrag,1,Innere Verwaltung,215561,2013,101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten"
Aufwand,1,Innere Verwaltung,16201892,2013,101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten"
Ertrag,1,Innere Verwaltung,203417,2014,101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten"
Aufwand,1,Innere Verwaltung,16699151,2014,101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten"
Ertrag,1,Innere Verwaltung,66051,2015,101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten"
Aufwand,1,Innere Verwaltung,17056516,2015,101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten"
Ertrag,1,Innere Verwaltung,66051,2016,101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten"
Aufwand,1,Innere Verwaltung,17353869,2016,101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten"
Ertrag,1,Innere Verwaltung,53901,2017,101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten"
Aufwand,1,Innere Verwaltung,17950440,2017,101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten"
Ertrag,1,Innere Verwaltung,53901,2018,101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten"
Aufwand,1,Innere Verwaltung,17575500,2018,101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten"
Ertrag,1,Innere Verwaltung,116113,2012,102,"Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen"
Aufwand,1,Innere Verwaltung,5239085,2012,102,"Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen"
Ertrag,1,Innere Verwaltung,121700,2013,102,"Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen"
Aufwand,1,Innere Verwaltung,6256091,2013,102,"Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen"
Ertrag,1,Innere Verwaltung,121700,2014,102,"Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen"
Aufwand,1,Innere Verwaltung,6601001,2014,102,"Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen"
Ertrag,1,Innere Verwaltung,2200325,2015,102,"Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen"
