art_label,produktbereich_name,produktbereich_label,amount,time_year,produktgruppe_name,produktgruppe_label
Ertrag,1,Innere Verwaltung,66051,2016,101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten"
Aufwand,1,Innere Verwaltung,17353869,2016,101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten"
Ertrag,1,Innere Verwaltung,1496543,2016,102,"Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen"
Aufwand,1,Innere Verwaltung,6288923,2016,102,"Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen"
Ertrag,1,Innere Verwaltung,34547915,2016,103,Personal- und Organisationsmanagement
Aufwand,1,Innere Verwaltung,143619116,2016,103,Personal- und Organisationsmanagement
Ertrag,1,Innere Verwaltung,5742344,2016,104,IT- und Kommunikationsdienste
Aufwand,1,Innere Verwaltung,41783431,2016,104,IT- und Kommunikationsdienste
Ertrag,1,Innere Verwaltung,0,2016,105,Organisationsmanagement
Aufwand,1,Innere Verwaltung,0,2016,105,Organisationsmanagement
Ertrag,1,Innere Verwaltung,4559761,2016,106,Zentrale Dienstleistungen
Aufwand,1,Innere Verwaltung,51583133,2016,106,Zentrale Dienstleistungen
Ertrag,1,Innere Verwaltung,4162413,2016,107,Rechts- und Versicherungsangelegenheiten
Aufwand,1,Innere Verwaltung,11561378,2016,107,Rechts- und Versicherungsangelegenheiten
Ertrag,1,Innere Verwaltung,84644597,2016,108,Zentrale Liegenschaftsangelegenheiten
Aufwand,1,Innere Verwaltung,25766141,2016,108,Zentrale Liegenschaftsangelegenheiten
Ertrag,1,Innere Verwaltung,8304898,2016,109,Kasse und Veranlagung gemeindl. Abgaben
Aufwand,1,Innere Verwaltung,28522397,2016,109,Kasse und Veranlagung gemeindl. Abgaben
Ertrag,1,Innere Verwaltung,170174,2016,110,"Controlling, Finanzsteuerung, Rechungswesen"
Aufwand,1,Innere Verwaltung,12528782,2016,110,"Controlling, Finanzsteuerung, Rechungswesen"
Ertrag,1,Innere Verwaltung,1445677,2016,111,Sonstige Innere Verwaltung
Aufwand,1,Innere Verwaltung,29679836,2016,111,Sonstige Innere Verwaltung
Ertrag,2,Sicherheit und Ordnung,3819872,2016,201,Allgemeine Sicherheit und Ordnung
Aufwand,2,Sicherheit und Ordnung,18055977,2016,201,Allgemeine Sicherheit und Ordnung
Ertrag,2,Sicherheit und Ordnung,2172504,2016,202,Gewerbewesen
Aufwand,2,Sicherheit und Ordnung,3086619,2016,202,Gewerbewesen
Ertrag,2,Sicherheit und Ordnung,4609086,2016,203,Märkte
Aufwand,2,Sicherheit und Ordnung,4865766,2016,203,Märkte
Ertrag,2,Sicherheit und Ordnung,14032315,2016,204,Verkehrs- u. Kfz.-Wesen
Aufwand,2,Sicherheit und Ordnung,10462023,2016,204,Verkehrs- u. Kfz.-Wesen
Ertrag,2,Sicherheit und Ordnung,41894731,2016,205,Verkehrsüberwachung
Aufwand,2,Sicherheit und Ordnung,27941461,2016,205,Verkehrsüberwachung
Ertrag,2,Sicherheit und Ordnung,1234800,2016,206,Verbraucherschutz und Veterinäraufsicht
Aufwand,2,Sicherheit und Ordnung,6775423,2016,206,Verbraucherschutz und Veterinäraufsicht
Ertrag,2,Sicherheit und Ordnung,6482865,2016,207,Einwohnerangelegenheiten
Aufwand,2,Sicherheit und Ordnung,12912353,2016,207,Einwohnerangelegenheiten
Ertrag,2,Sicherheit und Ordnung,2011313,2016,208,Personenstandswesen
Aufwand,2,Sicherheit und Ordnung,4784319,2016,208,Personenstandswesen
Ertrag,2,Sicherheit und Ordnung,6511953,2016,209,Ausländerangelegenheiten
Aufwand,2,Sicherheit und Ordnung,20148012,2016,209,Ausländerangelegenheiten
Ertrag,2,Sicherheit und Ordnung,100,2016,210,Statistik und Informationsmanagement
Aufwand,2,Sicherheit und Ordnung,1864199,2016,210,Statistik und Informationsmanagement
Ertrag,2,Sicherheit und Ordnung,0,2016,211,Wahlen
Aufwand,2,Sicherheit und Ordnung,2838058,2016,211,Wahlen
Ertrag,2,Sicherheit und Ordnung,48208598,2016,212,"Brand- u. Bevölkerungsschutz, Rettungsdienst"
Aufwand,2,Sicherheit und Ordnung,136900909,2016,212,"Brand- u. Bevölkerungsschutz, Rettungsdienst"
Ertrag,2,Sicherheit und Ordnung,0,2016,213,Einwohner- und Bürgerbefragungen
Aufwand,2,Sicherheit und Ordnung,50000,2016,213,Einwohner- und Bürgerbefragungen
Ertrag,3,Schulträgeraufgaben,125564870,2016,301,Schulträgeraufgaben
Aufwand,3,Schulträgeraufgaben,425180800,2016,301,Schulträgeraufgaben
Ertrag,4,Kultur und Wissenschaft,218601,2016,401,Museumsreferat
Aufwand,4,Kultur und Wissenschaft,9619192,2016,401,Museumsreferat
Ertrag,4,Kultur und Wissenschaft,3873936,2016,402,Museum Ludwig
Aufwand,4,Kultur und Wissenschaft,14427018,2016,402,Museum Ludwig
Ertrag,4,Kultur und Wissenschaft,565998,2016,403,Römisch-Germanisches Museum
Aufwand,4,Kultur und Wissenschaft,3200750,2016,403,Römisch-Germanisches Museum
Ertrag,4,Kultur und Wissenschaft,1372665,2016,404,Rautenstrauch-Joest-Museum
Aufwand,4,Kultur und Wissenschaft,7145453,2016,404,Rautenstrauch-Joest-Museum
Ertrag,4,Kultur und Wissenschaft,236270,2016,405,Museum für Angewandte Kunst
Aufwand,4,Kultur und Wissenschaft,2989929,2016,405,Museum für Angewandte Kunst
Ertrag,4,Kultur und Wissenschaft,413074,2016,406,Museum für Ostasiatische Kunst
Aufwand,4,Kultur und Wissenschaft,1887772,2016,406,Museum für Ostasiatische Kunst
Ertrag,4,Kultur und Wissenschaft,118207,2016,407,Museum Schnütgen
Aufwand,4,Kultur und Wissenschaft,1678542,2016,407,Museum Schnütgen
Ertrag,4,Kultur und Wissenschaft,326528,2016,408,Kölnisches Stadtmuseum
Aufwand,4,Kultur und Wissenschaft,2282941,2016,408,Kölnisches Stadtmuseum
Ertrag,4,Kultur und Wissenschaft,141536,2016,409,Kunst- und Museumsbibliothek / Rheinisches Bildarchiv
Aufwand,4,Kultur und Wissenschaft,2743799,2016,409,Kunst- und Museumsbibliothek / Rheinisches Bildarchiv
Ertrag,4,Kultur und Wissenschaft,108665,2016,410,NS-Dokumentationszentrum
Aufwand,4,Kultur und Wissenschaft,2054488,2016,410,NS-Dokumentationszentrum
Ertrag,4,Kultur und Wissenschaft,521400,2016,411,Museumsdienst
Aufwand,4,Kultur und Wissenschaft,1754303,2016,411,Museumsdienst
Ertrag,4,Kultur und Wissenschaft,3821842,2016,412,Historisches Archiv
Aufwand,4,Kultur und Wissenschaft,21002696,2016,412,Historisches Archiv
Ertrag,4,Kultur und Wissenschaft,515858,2016,413,Archäologische Zone und Jüdisches Museum
Aufwand,4,Kultur und Wissenschaft,1658875,2016,413,Archäologische Zone und Jüdisches Museum
Ertrag,4,Kultur und Wissenschaft,7554250,2016,414,Volkshochschule
Aufwand,4,Kultur und Wissenschaft,17204032,2016,414,Volkshochschule
Ertrag,4,Kultur und Wissenschaft,3417626,2016,415,Rheinische Musikschule
Aufwand,4,Kultur und Wissenschaft,7306917,2016,415,Rheinische Musikschule
Ertrag,4,Kultur und Wissenschaft,1134216,2016,416,Kulturförderung
Aufwand,4,Kultur und Wissenschaft,102954124,2016,416,Kulturförderung
Ertrag,4,Kultur und Wissenschaft,1188894,2016,417,Puppenspiele
Aufwand,4,Kultur und Wissenschaft,2307470,2016,417,Puppenspiele
Ertrag,4,Kultur und Wissenschaft,1779422,2016,418,Stadtbibliothek
Aufwand,4,Kultur und Wissenschaft,14471512,2016,418,Stadtbibliothek
Ertrag,5,Soziale Hilfen,198333699,2016,501,Leistungen nach dem  SGB XII
Aufwand,5,Soziale Hilfen,378462910,2016,501,Leistungen nach dem  SGB XII
Ertrag,5,Soziale Hilfen,127152175,2016,502,Kommunale Leistungen nach dem SGB II
Aufwand,5,Soziale Hilfen,380693319,2016,502,Kommunale Leistungen nach dem SGB II
Ertrag,5,Soziale Hilfen,19861843,2016,503,Weitere soziale Pflichtleistungen
Aufwand,5,Soziale Hilfen,74568952,2016,503,Weitere soziale Pflichtleistungen
Ertrag,5,Soziale Hilfen,650099,2016,504,Freiwillige Sozialleistungen und interkulturelle Hilfen
Aufwand,5,Soziale Hilfen,8412584,2016,504,Freiwillige Sozialleistungen und interkulturelle Hilfen
Ertrag,5,Soziale Hilfen,2702510,2016,505,Leistungen n. d. Schwerbehindertenrecht - SGB IX
Aufwand,5,Soziale Hilfen,3945686,2016,505,Leistungen n. d. Schwerbehindertenrecht - SGB IX
Ertrag,5,Soziale Hilfen,0,2016,506,Leistungen nach dem Lastenausgleichsgesetz
Aufwand,5,Soziale Hilfen,0,2016,506,Leistungen nach dem Lastenausgleichsgesetz
Ertrag,5,Soziale Hilfen,2100297,2016,507,"Betrieb, Unterhaltung u. Förderung von Bürgerhäusern u. -zentren"
Aufwand,5,Soziale Hilfen,9658167,2016,507,"Betrieb, Unterhaltung u. Förderung von Bürgerhäusern u. -zentren"
Ertrag,5,Soziale Hilfen,14533753,2016,508,Leistungen für Bildung und Teilhabe
Aufwand,5,Soziale Hilfen,14923904,2016,508,Leistungen für Bildung und Teilhabe
Ertrag,6,"Kinder-, Jugend- und Familienhilfe",15846973,2016,601,Kinder- und jugendpädagogische Einrichtung
Aufwand,6,"Kinder-, Jugend- und Familienhilfe",21257120,2016,601,Kinder- und jugendpädagogische Einrichtung
Ertrag,6,"Kinder-, Jugend- und Familienhilfe",432014,2016,602,Leistungen nach dem Bundeselterngeld- und Elternzeitgesetz
Aufwand,6,"Kinder-, Jugend- und Familienhilfe",913071,2016,602,Leistungen nach dem Bundeselterngeld- und Elternzeitgesetz
Ertrag,6,"Kinder-, Jugend- und Familienhilfe",281255188,2016,603,Kindertagesbetreuung
