Admin Class 1 Level Unique Identifier,1 Level display label,Admin Class 2 Level Unique Identifier Partial,2 Level display label,Admin Class 3 Level Unique Identifier Partial,3 Level display label,Admin Class 4 Level Unique Identifier Partial,4 Level display label,Budget Direction,Date,Amount Kind,Amount
1,Oberbürgermeister,-001,Büro Oberbürgermeister,50, Personalaufwendungen,50321000,Sozialversicherung für tariflich Beschäf,Ausgabe,2017,IST,238462.84
1,Oberbürgermeister,-001,Büro Oberbürgermeister,50, Personalaufwendungen,50111500,Rückstellungen für Altersteilzeit-Beamte,Ausgabe,2017,IST,17662.00
1,Oberbürgermeister,-001,Büro Oberbürgermeister,50, Personalaufwendungen,50111700,Jubiläumsaufwendungen Beamte,Ausgabe,2017,IST,951.44
1,Oberbürgermeister,-001,Büro Oberbürgermeister,50, Personalaufwendungen,50121500,Rückstellungen Altersteilzeit für tarifl,Ausgabe,2017,IST,14615.00
1,Oberbürgermeister,-001,Büro Oberbürgermeister,50, Personalaufwendungen,50610000,Zuführungen zur Beihilferückstellung für,Ausgabe,2017,IST,179174.04
1,Oberbürgermeister,-001,Büro Oberbürgermeister,50, Personalaufwendungen,50111900,Inanspruchnahme Personal-Rückstellungen für Beamte,Ausgabe,2017,IST,-3054.12
1,Oberbürgermeister,-001,Büro Oberbürgermeister,50, Personalaufwendungen,50111600,Rückstellungen für Urlaub/Überst-Beamte,Ausgabe,2017,IST,23985.21
1,Oberbürgermeister,-001,Büro Oberbürgermeister,50, Personalaufwendungen,50121100,Pauschale Lohnsteuer für tarifl Beschäf,Ausgabe,2017,IST,2914.00
1,Oberbürgermeister,-001,Büro Oberbürgermeister,50, Personalaufwendungen,50121900,Inanspruchnahme Personal-Rst für tariflich Besch,Ausgabe,2017,IST,-8847.71
1,Oberbürgermeister,-001,Büro Oberbürgermeister,50, Personalaufwendungen,50121700,Jubiläumsaufwendungen tariflich Beschäftigte,Ausgabe,2017,IST,768.26
1,Oberbürgermeister,-001,Büro Oberbürgermeister,50, Personalaufwendungen,50121000,Vergütungen für tarifl Beschäftigte,Ausgabe,2017,IST,1275732.38
1,Oberbürgermeister,-001,Büro Oberbürgermeister,50, Personalaufwendungen,50121600,Rückstellungen Urlaub/Übstst für tarifl,Ausgabe,2017,IST,14237.81
1,Oberbürgermeister,-001,Büro Oberbürgermeister,50, Personalaufwendungen,50220000,Beiträge zu Versorgungskassen für tarifl,Ausgabe,2017,IST,96935.96
1,Oberbürgermeister,-001,Büro Oberbürgermeister,50, Personalaufwendungen,50111000,Beamtenbezüge,Ausgabe,2017,IST,1358499.77
1,Oberbürgermeister,-001,Büro Oberbürgermeister,50, Personalaufwendungen,50510000,Zuführungen zu Pensionsrückstellungen f,Ausgabe,2017,IST,703075.91
1,Oberbürgermeister,-001,Büro Oberbürgermeister,54, Sonstige ordentliche Aufwendungen,54312100,Druck und Vervielfältigung,Ausgabe,2017,IST,1980.70
1,Oberbürgermeister,-001,Büro Oberbürgermeister,54, Sonstige ordentliche Aufwendungen,54316200,Werbung und Öffentlichkeitsarbeit,Ausgabe,2017,IST,0.00
1,Oberbürgermeister,-001,Büro Oberbürgermeister,54, Sonstige ordentliche Aufwendungen,54920000,Fraktionszuwendungen,Ausgabe,2017,IST,142225.08
